x,y,label
-40.89014,19.53383,1.00000
78.65134,-41.45239,0.00000
22.76285,19.44897,1.00000
69.00952,2.82944,1.00000
69.45695,9.89498,1.00000
-72.74043,-61.50659,1.00000
-8.13316,38.01368,1.00000
-70.75250,-17.65533,0.00000
19.00450,-10.63102,1.00000
-90.85189,-24.39160,1.00000
-26.24948,54.21587,0.00000
-0.49142,101.46918,0.00000
48.07462,-91.13459,1.00000
-95.45896,56.53024,0.00000
-18.15943,-53.74078,1.00000
59.22482,43.88369,1.00000
20.51551,-79.52124,0.00000
-94.90405,57.51205,0.00000
20.32241,22.83247,1.00000
-70.30442,78.82119,0.00000
64.64341,-22.60108,1.00000
55.84604,-64.16872,0.00000
-2.87666,-79.68992,0.00000
1.96809,58.54092,0.00000
85.19762,-22.17274,0.00000
47.45409,16.61615,0.00000
-42.35221,17.91467,1.00000
70.17799,3.75908,1.00000
-62.30861,-38.91552,0.00000
-25.70953,-5.92650,0.00000
49.00956,55.14398,1.00000
17.22352,-59.04334,1.00000
58.37494,43.43902,1.00000
24.60806,18.32458,1.00000
-28.88737,76.46707,1.00000
-12.57250,-79.19917,0.00000
20.83409,48.30717,0.00000
-12.83302,36.84457,1.00000
-4.35880,-81.12977,0.00000
-0.04535,-78.64990,0.00000
53.47951,51.56528,1.00000
-11.77150,14.27954,0.00000
85.75416,-67.03570,1.00000
-38.44076,21.70172,1.00000
34.94778,40.28836,0.00000
67.41640,-5.38526,1.00000
17.09344,-36.09850,0.00000
-29.33730,-72.27117,0.00000
8.22506,-102.56797,1.00000
24.42025,-3.85628,1.00000
28.30150,71.04336,1.00000
17.75530,-57.34829,1.00000
2.47790,-58.91866,1.00000
44.61505,-95.05563,1.00000
23.26775,-34.83265,0.00000
40.13094,34.56107,0.00000
44.10588,86.78097,0.00000
60.85022,39.16932,1.00000
5.60768,-58.25680,1.00000
-45.65223,4.03525,1.00000
-1.31094,36.52507,1.00000
-59.02516,27.34472,0.00000
-20.71463,34.12876,1.00000
-56.08112,89.50697,0.00000
-29.52173,-96.15118,1.00000
7.67879,30.96765,1.00000
-42.12551,-29.05073,1.00000
-81.17927,33.78003,1.00000
-47.66493,-2.22875,1.00000
-84.67144,66.76144,0.00000
-16.90756,57.56919,0.00000
-47.76068,-86.79155,1.00000
-25.86862,-97.90929,1.00000
24.43370,-57.14791,1.00000
-35.11382,-41.33660,1.00000
-42.52752,16.22933,1.00000
-48.93869,94.84420,0.00000
37.90233,-74.55654,0.00000
-48.44908,-12.18609,1.00000
15.43733,-57.18392,1.00000
-14.83653,101.58218,0.00000
83.81898,-28.10325,0.00000
-24.19206,-75.35517,0.00000
-46.52021,0.76299,1.00000
-46.74596,-87.58055,1.00000
96.23537,-53.10943,1.00000
-0.50493,-60.36442,1.00000
48.00651,9.08087,0.00000
-65.91031,15.78537,0.00000
-4.30267,-10.83107,1.00000
17.09643,-37.35629,0.00000
-59.59079,-40.58881,0.00000
-111.36084,13.59740,0.00000
28.90164,46.06818,0.00000
95.43817,-55.55776,1.00000
70.58491,15.89086,1.00000
-91.14026,60.28781,0.00000
39.96614,-96.68034,1.00000
23.66175,-5.31651,1.00000
-36.69146,51.79349,0.00000
88.76302,26.39675,0.00000
23.12265,-58.30200,1.00000
-18.46043,-99.25773,1.00000
-10.56966,35.74111,1.00000
-65.34861,14.52843,0.00000
74.55284,-79.00275,1.00000
83.97094,44.83401,0.00000
-46.38218,69.76908,1.00000
19.82941,-78.77244,0.00000
-38.19420,-37.97046,1.00000
54.96457,52.30415,1.00000
60.97764,41.90818,1.00000
-20.26994,-23.29068,0.00000
31.23398,-99.20966,1.00000
62.23323,35.18169,1.00000
-54.31256,89.71698,0.00000
-68.43421,-5.77408,0.00000
-65.00382,57.28919,1.00000
45.31813,-96.41107,1.00000
71.34262,8.41424,1.00000
-103.39624,35.74057,0.00000
62.41992,43.51059,1.00000
1.57714,37.17222,1.00000
5.20339,56.62656,0.00000
-67.89892,-68.73297,1.00000
-59.38881,29.70457,0.00000
29.00503,-99.75511,1.00000
-66.42417,-29.01089,0.00000
-66.67310,-27.13758,0.00000
-48.95628,-8.67840,1.00000
103.96257,-41.25005,1.00000
11.46796,79.09049,1.00000
44.73322,22.73575,0.00000
-22.52199,-96.05123,1.00000
-86.48555,-39.55417,1.00000
-92.79247,56.77722,0.00000
-19.05317,-21.80375,0.00000
74.90075,58.44726,0.00000
-3.07439,-102.45053,1.00000
-30.28316,76.59361,1.00000
-12.66254,38.24812,1.00000
81.21671,52.32421,0.00000
88.88002,-66.13138,1.00000
59.38714,-32.59166,1.00000
-9.00004,14.19527,0.00000
-9.45488,80.10834,1.00000
9.26230,55.81646,0.00000
6.27933,56.93562,0.00000
4.69029,-80.11048,0.00000
-51.36029,-55.41695,0.00000
28.48210,-77.09762,0.00000
94.29944,-55.53102,1.00000
37.82393,35.81783,0.00000
-26.04032,-7.07281,0.00000
-75.06865,44.10216,1.00000
91.05707,10.36718,0.00000
-78.81813,-54.61422,1.00000
48.32488,-4.33092,0.00000
17.12058,-13.25589,1.00000
-70.69903,79.95558,0.00000
32.08018,70.69752,1.00000
46.94754,61.36474,1.00000
-3.32949,57.31798,0.00000
-50.15037,-53.53183,0.00000
90.86193,-3.23883,0.00000
-46.04628,68.67151,1.00000
75.90266,-76.96598,1.00000
66.97872,-2.00984,1.00000
-39.92600,15.57380,1.00000
-81.35768,37.00749,1.00000
37.23033,-20.43173,0.00000
39.81977,-19.50279,0.00000
-104.98509,32.16807,0.00000
90.49688,16.46133,0.00000
-107.84561,29.96684,0.00000
-10.00470,-56.48974,1.00000
-41.40278,-32.38210,1.00000
-64.45697,-31.29654,0.00000
-90.90569,-10.37227,1.00000
-32.13221,75.05413,1.00000
22.29056,-78.84320,0.00000
36.86046,-50.89226,1.00000
42.02739,-71.62915,0.00000
-3.51504,59.60429,0.00000
85.94533,38.96976,0.00000
-86.07870,19.39613,1.00000
88.28651,-62.50608,1.00000
32.20524,42.50554,0.00000
-41.98706,45.72402,0.00000
-2.50164,37.13447,1.00000
-0.60465,-101.16911,1.00000
-5.81144,58.15106,0.00000
-20.27548,-50.96626,1.00000
94.32063,-54.71181,1.00000
87.05482,34.24310,0.00000
73.65624,63.50171,0.00000
-2.43988,58.26608,0.00000
86.43252,37.55306,0.00000
76.05237,-77.87230,1.00000
-79.64749,-51.59814,1.00000
-21.67987,7.75953,0.00000
0.62415,-103.96043,1.00000
90.14924,8.15488,0.00000
-57.54189,-47.02502,0.00000
-59.45398,-45.49289,0.00000
-31.99736,-70.12227,0.00000
-11.69178,14.41222,0.00000
-33.49629,99.10848,0.00000
43.65593,63.14185,1.00000
-53.10361,-85.96243,1.00000
111.87585,-17.90251,1.00000
-108.79641,27.21341,0.00000
24.66332,-100.17415,1.00000
19.38249,96.18629,0.00000
60.94996,-27.66017,1.00000
-71.11784,-63.55850,1.00000
-89.26047,-23.20140,1.00000
47.54841,13.64511,0.00000
-72.31465,80.64507,0.00000
-41.44590,-89.88284,1.00000
-85.82894,27.72347,1.00000
17.45002,53.01810,0.00000
27.98623,-28.71881,0.00000
7.11190,-103.42235,1.00000
-76.13728,43.29417,1.00000
-62.91081,88.13585,0.00000
-38.30814,-64.90787,0.00000
-56.92664,-46.47204,0.00000
-30.20948,-71.40779,0.00000
70.59025,13.65335,1.00000
14.02802,100.07399,0.00000
74.65048,-77.50380,1.00000
57.39950,47.24575,1.00000
-23.60421,3.09555,0.00000
88.47547,-62.76476,1.00000
-60.98353,-41.05157,0.00000
-25.19831,79.60338,1.00000
-45.01817,-22.71169,1.00000
44.65311,90.18327,0.00000
33.13419,-76.01227,0.00000
73.04595,62.21629,0.00000
44.06232,-71.13175,0.00000
15.99461,-100.51164,1.00000
6.30885,-37.92698,0.00000
110.27704,-19.72893,1.00000
-96.32312,53.86276,0.00000
67.33181,2.26690,1.00000
-44.26632,71.94006,1.00000
39.81466,89.58007,0.00000
-30.41702,-69.93453,0.00000
-47.38289,-2.91268,1.00000
64.40954,-20.99241,1.00000
52.85130,84.15486,0.00000
